,e,feat
2265,68,"1.8121138000734485, 8.76942647169784, 3.8, 1.0105047011779964, 0, 0, 0, 0, 0, 0, 0, 0, 0"
12424,69,"1.795416610329955, 8.762223827839607, 3.9, 1.0013617205230736, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2267,70,"1.781919057184954, 8.759022427660069, 3.9, 1.0229547173889548, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2268,71,"1.509170429720463, 8.722678940553578, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
18,72,"1.796471164659292, 8.766960650729764, 5.0, 1.0001945315032963, 0, 0, 0, 0, 0, 0, 0, 0, 0"
19,73,"1.800326994905701, 8.768811883661307, 4.1, 1.1505673835512806, 0, 0, 0, 0, 0, 0, 0, 0, 0"
12427,74,"1.8062914301272173, 8.777176222349881, 4.9, 1.002528909542851, 0, 0, 0, 0, 0, 0, 0, 0, 0"
20,75,"1.7844474161382111, 8.761781951634847, 3.6, 1.0287906624878418, 0, 0, 0, 0, 0, 0, 0, 0, 0"
21,76,"1.753260257566633, 8.742811380791109, 4.2, 1.012644547714255, 0, 0, 0, 0, 0, 0, 0, 0, 0"
8683,77,"1.7887997193227747, 8.777477144802175, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2272,78,"1.785379946496258, 8.758511499141527, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
12431,79,"1.1192216614967379, 8.317573940762347, 4.3, 1.0033070355560358, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2273,80,"1.8375446772845931, 8.769346091462953, 4.3, 1.017896898303253, 0, 0, 0, 0, 0, 0, 0, 0, 0"
8685,81,"1.2663784353660308, 8.692166489924867, 4.5, 1.0011671890197773, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2274,82,"1.808159035770803, 8.76107423399708, 3.7, 1.005252350588998, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2275,83,"1.7811909428257389, 8.770670903369657, 4.5, 1.0223711228790662, 0, 0, 0, 0, 0, 0, 0, 0, 0"
22,84,"1.7962646013778896, 8.778286545650287, 3.6, 1.0066140711120717, 0, 0, 0, 0, 0, 0, 0, 0, 0"
23,85,"1.7960792193159225, 8.755837180834178, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
24,86,"1.8413291435225911, 8.771068234722307, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
8691,87,"1.8054246172197095, 8.753179078224568, 3.3, 1.0005835945098887, 0, 0, 0, 0, 0, 0, 0, 0, 0"
25,88,"1.8139439210558548, 8.775537832140667, 4.2, 1.161850210742462, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2280,89,"1.4907586215891566, 8.717357978480312, 5.0, 1.0005835945098887, 0, 0, 0, 0, 0, 0, 0, 0, 0"
12437,90,"1.8240449768570217, 8.774835239187077, 4.1, 1.0653625851075328, 0, 0, 0, 0, 0, 0, 0, 0, 0"
8692,91,"1.7862451688240837, 8.772063795022342, 3.6, 1.0085593861450342, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5288,92,"1.7974267319130703, 8.776193080992519, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2281,93,"1.817052311399908, 8.766480052610875, 4.3, 1.0350156705933211, 0, 0, 0, 0, 0, 0, 0, 0, 0"
27,94,"1.7285917717068555, 8.736932177269606, 4.1, 1.0081703231384416, 0, 0, 0, 0, 0, 0, 0, 0, 0"
28,95,"1.795517559120456, 8.77372437349309, 4.0, 1.0001945315032963, 0, 0, 0, 0, 0, 0, 0, 0, 0"
12441,96,"1.780975763904391, 8.77085264262562, 4.2, 1.001750783529666, 0, 0, 0, 0, 0, 0, 0, 0, 0"
12442,97,"1.520025155194407, 8.710743557343065, 4.0, 1.0151734572571058, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5291,98,"1.553689509072795, 8.715038454153191, 4.0, 1.0056414135955907, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2283,99,"1.2560080148956727, 8.701033284570189, 4.1, 1.0132281422241436, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5292,100,"1.8081122992378065, 8.781154517169146, 3.6, 1.0015562520263699, 0, 0, 0, 0, 0, 0, 0, 0, 0"
8698,101,"1.5739314912058315, 8.723813883535017, 4.8, 1.000778126013185, 0, 0, 0, 0, 0, 0, 0, 0, 0"
29,102,"1.8073134040827306, 8.751392489879663, 5.0, 1.0011671890197773, 0, 0, 0, 0, 0, 0, 0, 0, 0"
8700,103,"1.2020681176529528, 8.752109259879257, 4.3, 1.082675888900897, 0, 0, 0, 0, 0, 0, 0, 0, 0"
30,104,"1.8042029194754283, 8.776644483374188, 3.8, 1.0270398789581758, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5295,105,"1.8207001468432003, 8.776346478625292, 4.2, 1.370777045282611, 0, 0, 0, 0, 0, 0, 0, 0, 0"
8702,106,"1.83213429398573, 8.788453825538499, 3.8, 1.0066140711120717, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2286,107,"1.3884963038772087, 8.708315984474039, 4.1, 1.0227601858856588, 0, 0, 0, 0, 0, 0, 0, 0, 0"
31,108,"1.5759826232350873, 8.718866150589312, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5298,109,"1.8138614494993295, 8.772519411864478, 4.8, 1.002528909542851, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5299,110,"1.8066986450355378, 8.771133446640162, 4.1, 1.0035015670593321, 0, 0, 0, 0, 0, 0, 0, 0, 0"
8706,111,"1.5956018934225167, 8.733409187572027, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5300,112,"1.56095079692858, 8.723328628312625, 3.9, 1.0931805900788933, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5302,113,"1.7866436090344875, 8.776704040683105, 5.0, 1.0003890630065924, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5303,114,"1.5669665813641735, 8.724261401879897, 3.9, 1.0029179725494435, 0, 0, 0, 0, 0, 0, 0, 0, 0"
32,115,"1.601533297605969, 8.715206240801875, 0.0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5305,116,"1.8149310613163259, 8.777734893972335, 4.1, 1.0147843942505133, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5306,117,"1.8454643590901885, 8.77257413750644, 4.2, 1.3287582405706257, 0, 0, 0, 0, 0, 0, 0, 0, 0"
33,118,"1.5982969716361364, 8.716287187567202, 4.2, 1.0009726575164812, 0, 0, 0, 0, 0, 0, 0, 0, 0"
34,119,"1.860078128036875, 8.774438618557049, 4.1, 1.088511833999784, 0, 0, 0, 0, 0, 0, 0, 0, 0"
36,120,"1.81019606466021, 8.761298516859874, 4.3, 1.0005835945098887, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5309,121,"1.7744865699360348, 8.76580043345435, 4.5, 1.0048632875824057, 0, 0, 0, 0, 0, 0, 0, 0, 0"
12462,122,"1.8073715927894396, 8.771079437955231, 4.3, 1.6701610288555062, 0, 0, 0, 0, 0, 0, 0, 0, 0"
12463,123,"1.7929415888153768, 8.770249357572556, 4.5, 1.0274289419647682, 0, 0, 0, 0, 0, 0, 0, 0, 0"
37,124,"1.57759377441457, 8.720861922058479, 4.5, 1.0583594509888685, 0, 0, 0, 0, 0, 0, 0, 0, 0"
8716,125,"1.5981682672301822, 8.725407647844804, 4.1, 1.0799524478547498, 0, 0, 0, 0, 0, 0, 0, 0, 0"
2293,126,"1.775983278907379, 8.76371250495175, 4.5, 1.0632227385712743, 0, 0, 0, 0, 0, 0, 0, 0, 0"
5312,127,"5.127923475514868, 9.116961336791837, 5.0, 1.0001945315032963, 0, 0, 0, 0, 0, 0, 0, 0, 0"
38,128,"1.5808441239952655, 8.71236974681392, 4.1, 1.0231492488922511, 0, 0, 0, 0, 0, 0, 0, 0, 0"
39,129,"1.8309458128471467, 8.776850050541245, 3.0, 1.0001945315032963, 0, 0, 0, 0, 0, 0, 0, 0, 0"
