,e,feat
3871,113,"1.087589220143112, 8.318492799128792, 0.0, 1.0"
39,114,"1.7246453579475425, 8.748820172737519, 4.0, 1.0146036161335188"
5498,115,"1.7926793817547564, 8.77360961049272, 0.0, 1.0"
1068,116,"1.162073919380707, 8.698967899690432, 0.0, 1.0"
3872,117,"1.5967428427382648, 8.732184737180967, 0.0, 1.0"
1069,118,"1.5572594856406399, 8.722559825935745, 0.0, 1.0"
5501,119,"1.1771434954450086, 8.710981493561508, 5.0, 1.0013908205841446"
5502,120,"1.8043620834822995, 8.773877521749505, 0.0, 1.0"
2360,121,"1.7760093379045072, 8.766512571288077, 3.4, 1.0034770514603617"
1070,122,"1.5455831197221643, 8.707841346450127, 4.2, 1.0125173852573017"
40,123,"1.8097873917205147, 8.771212087474943, 5.0, 1.002086230876217"
5505,124,"1.7458755672371655, 8.74046418192256, 0.0, 1.0"
5506,125,"1.450482652126201, 8.714467538151514, 4.3, 1.002086230876217"
2362,126,"1.7924373750561005, 8.762307343982204, 0.0, 1.0"
41,127,"1.8180192778080757, 8.774538500023203, 4.7, 1.0528511821974966"
42,128,"1.7518793958154806, 8.757887578194763, 0.0, 1.0"
43,129,"1.8201198768654514, 8.775261124132822, 3.3, 2.373435326842837"
2367,130,"1.8527597648801581, 8.782010719725415, 0.0, 1.0"
3879,131,"5.128841478578484, 9.116889990215553, 5.0, 1.002086230876217"
1076,132,"1.7954167428782624, 8.774132876906618, 3.0, 1.064673157162726"
1077,133,"1.7943647069667543, 8.775061785140329, 0.0, 1.0"
45,134,"1.1250026233519073, 8.709111251917008, 4.6, 2.3803894297635604"
46,135,"1.7990057003636482, 8.771039001578634, 4.9, 1.0159944367176634"
5513,136,"1.3882776256805593, 8.706849907094423, 0.0, 1.0"
3883,137,"1.571011425496157, 8.720885170169536, 0.0, 1.0"
1079,138,"1.8135769743231576, 8.779834430944444, 5.0, 1.0006954102920724"
47,139,"1.811399709325098, 8.784052295397304, 4.5, 1.0013908205841446"
48,140,"1.569515538324315, 8.721665886501965, 4.8, 1.6251738525730182"
1085,141,"1.5580333821850436, 8.724610809330773, 3.5, 1.0013908205841446"
50,142,"1.759042385846902, 8.756363689140743, 4.7, 1.0187760778859527"
51,143,"1.569420607226946, 8.71448025634582, 0.0, 1.0"
52,144,"1.2652183195651139, 8.696706798009796, 4.0, 1.0382475660639778"
1088,145,"1.5615103098414762, 8.722614339607803, 0.0, 1.0"
3891,146,"1.8059877089368905, 8.777547911578425, 3.7, 1.0869262865090403"
2379,147,"1.7987142001272112, 8.771362255683869, 4.8, 1.0702364394993045"
1089,148,"1.8152140254417999, 8.778864600050237, 4.6, 1.0305980528511822"
53,149,"1.800830333846151, 8.773813244992995, 4.4, 1.0146036161335188"
1092,150,"1.5659666104275987, 8.723034925305921, 0.0, 1.0"
54,151,"1.5883268735621439, 8.723768858633417, 0.0, 1.0"
1094,152,"1.7865445424299464, 8.749513563703465, 0.0, 1.0"
5528,153,"1.675468637130975, 8.731312250348461, 2.7, 1.0048678720445063"
1096,154,"1.8136579083193212, 8.77371266527304, 3.5, 1.0785813630041725"
5530,155,"1.5195462581617374, 8.715887125543421, 3.7, 1.002086230876217"
1097,156,"1.5654003640607153, 8.720189241799138, 4.4, 1.0034770514603617"
1098,157,"1.8089145081005533, 8.771339069916898, 4.4, 1.0159944367176634"
1099,158,"1.8139116057786442, 8.784037501144812, 0.0, 1.0"
55,159,"1.168656321318446, 8.70106773591417, 3.4, 1.0737134909596662"
56,160,"1.7702731508673937, 8.751988942020493, 4.9, 1.0118219749652295"
3904,161,"1.7927541655094839, 8.77658663429333, 4.6, 1.1070931849791377"
3905,162,"1.7425698124642048, 8.741046070484028, 5.0, 1.0006954102920724"
1102,163,"1.2677902073823422, 8.69490887550938, 2.3, 1.0222531293463144"
2390,164,"1.03534082486349, 8.266000877322655, 0.0, 1.0"
2391,165,"1.7419842670638435, 8.742140739183505, 5.0, 1.0006954102920724"
3907,166,"1.8264237417911628, 8.775261429618862, 3.7, 1.002086230876217"
57,167,"1.8056630716237416, 8.776934882144138, 0.0, 1.0"
3909,168,"1.5735139375295768, 8.723795043151101, 3.7, 1.0104311543810849"
2393,169,"1.7136503168359623, 8.736700406881637, 5.0, 1.0006954102920724"
58,170,"1.7926079117076998, 8.773604785060176, 3.6, 3.922809457579972"
59,171,"1.5630333163968997, 8.722397288659417, 5.0, 1.5319888734353269"
3914,172,"1.1331476107694938, 8.3143279957307, 0.0, 1.0"
61,173,"1.807265766221244, 8.776960181375749, 3.2, 1.8442280945757998"
1108,174,"1.7939111796800171, 8.774971454788723, 4.7, 1.1140472878998608"
2400,175,"1.8043396563087795, 8.777362363098579, 5.0, 1.0013908205841446"
62,176,"1.5549076545224523, 8.714977063928037, 5.0, 1.0006954102920724"
5544,177,"1.5584328297625811, 8.72283053020775, 4.3, 1.0027816411682893"
63,178,"1.2009260284217689, 8.752709440196652, 5.0, 1.0013908205841446"
5545,179,"1.5533698555759834, 8.714052688109652, 4.3, 1.0299026425591098"
5546,180,"1.3927768984277646, 8.709268577227435, 0.0, 1.0"
1109,181,"1.8166052524705485, 8.773567266386976, 0.0, 1.0"
64,182,"1.8398697071351346, 8.770389008333545, 2.8, 1.0292072322670376"
2402,183,"1.8104298798735021, 8.769895324190223, 0.0, 1.0"
65,184,"1.791670556591284, 8.777909289094529, 3.8, 1.0159944367176634"
5550,185,"1.5275907739627312, 8.779695091903903, 4.3, 1.004172461752434"
3921,186,"1.2637841203752833, 8.692358628174997, 5.0, 1.0048678720445063"
3922,187,"4.622381900320156, 9.914982449626134, 0.0, 1.0"
66,188,"1.5650670315786366, 8.723791620460576, 0.0, 1.0"
3924,189,"1.2594992047499236, 8.692680972056523, 5.0, 1.002086230876217"
67,190,"1.7893336504124475, 8.768804277682362, 1.0, 1.0013908205841446"
2406,191,"5.965348143562436, -3.413145181770692, 0.0, 1.0"
68,192,"1.806063791665025, 8.779203851648898, 3.0, 1.0013908205841446"
69,193,"1.8400933161287991, 8.770072400108274, 4.6, 1.0048678720445063"
1116,194,"1.792510144076564, 8.761760043921717, 4.7, 1.060500695410292"
1117,195,"1.7587345556590623, 8.756351781419605, 4.8, 1.543115438108484"
3930,196,"1.080242465139067, 8.317172232854599, 2.0, 1.0027816411682893"
1118,197,"1.7408333501154223, 8.740448147022681, 4.6, 1.0139082058414464"
70,198,"5.128872600920935, 9.116873213421007, 3.7, 1.0187760778859527"
1119,199,"1.1920530591932739, 8.702433888186773, 2.1, 1.0048678720445063"
71,200,"1.5257579489948645, 8.77946036017167, 0.0, 1.0"
1120,201,"1.7964275297566763, 8.774458144725953, 3.9, 1.420723226703755"
2414,202,"1.3919052872715483, 8.707254096296941, 5.0, 1.0006954102920724"
3936,203,"1.493497573292343, 8.716841943980821, 5.0, 1.011126564673157"
5563,204,"1.805947944444834, 8.771475079783048, 0.0, 1.0"
72,205,"1.5585840143613803, 8.717780796096841, 3.7, 1.8831710709318497"
75,206,"1.179964653608108, 8.710682086070594, 3.3, 1.2948539638386647"
76,207,"1.8116997986918175, 8.782033668584843, 4.6, 1.8435326842837274"
77,208,"1.584102479493695, 8.71563971302334, 5.0, 1.0006954102920724"
2415,209,"1.8093807335150842, 8.77795802346947, 5.0, 1.032684283727399"
78,210,"1.8077257618653562, 8.771019406831233, 3.5, 1.349095966620306"
79,211,"1.7755513569946615, 8.760710375186205, 4.0, 1.0897079276773296"
80,212,"1.1753676662490875, 8.699416833246149, 4.4, 1.9061196105702365"
1126,213,"1.166601981620163, 8.698751278916266, 3.0, 1.0208623087621698"
81,214,"1.7372147283189614, 8.743899871191292, 4.8, 1.2489568845618915"
5566,215,"1.7962390460643274, 8.774805332727235, 5.0, 1.0013908205841446"
82,216,"1.8165214024116318, 8.777344663611506, 5.0, 1.0243393602225312"
5567,217,"1.1734122871167054, 8.69941003774037, 4.3, 1.0382475660639778"
83,218,"1.5456131021491748, 8.707259613748883, 5.0, 1.0006954102920724"
84,219,"1.7856979298844031, 8.757362890335619, 3.3, 1.002086230876217"
3941,220,"1.7971158531141729, 8.77124445029192, 4.5, 1.0027816411682893"
85,221,"1.8412993201535484, 8.770401520792355, 4.2, 1.062586926286509"
2420,222,"1.5780835404083993, 8.718954398648322, 3.1, 1.0438108484005564"
2421,223,"1.8110561176040667, 8.755051664006842, 3.4, 1.1467315716272601"
5573,224,"1.1249100781240609, 8.709114955155938, 0.0, 1.0"
1130,225,"1.5890497124987464, 8.714962799600308, 0.0, 1.0"
1131,226,"3.3506800686907736, 7.769666798465767, 0.0, 1.0"
86,227,"1.2996113975249273, 8.699290835840811, 3.4, 1.0069541029207232"
87,228,"1.8022091808630396, 8.771580964985041, 5.0, 1.0591098748261474"
3946,229,"1.7929727111578257, 8.762259887661104, 0.0, 1.0"
1133,230,"1.2017731446508781, 8.751952152773145, 0.0, 1.0"
1134,231,"1.8246698891045199, 8.774691186933353, 4.1, 1.0813630041724618"
5577,232,"1.8021476254293365, 8.77517422270615, 5.0, 1.0006954102920724"
5578,233,"1.7948436305090825, 8.774595981273931, 4.5, 1.0013908205841446"
3948,234,"1.3922349879300189, 8.708490504284413, 0.0, 1.0"
88,235,"1.8498244296055342, 8.773758107880042, 2.6, 1.015299026425591"
3949,236,"1.7926793817547564, 8.77360961049272, 0.0, 1.0"
89,237,"1.2040191492008727, 8.751097521287937, 3.9, 1.0465924895688457"
5581,238,"1.415193070438141, 8.653601134273407, 2.5, 1.0292072322670376"
3950,239,"1.8331867275421576, 8.768532550967285, 4.6, 1.0034770514603617"
3951,240,"1.8010266378886026, 8.76930058651186, 4.9, 1.10778859527121"
1135,241,"1.8258696103395256, 8.771790995988923, 4.0, 1.0027816411682893"
