,e,feat
7008,34,"5.284944264181604, 6.875233046187759, 4.2, 1.0218950782858212"
11121,34,"5.5887890286590505, 5.62551381898129, 4.6, 1.290811552616805"
11122,34,"5.284944264181604, 6.875233046187759, 4.2, 1.0218950782858212"
11123,35,"7.3676273835972665, 7.327243041453812, 0.0, 1.0"
3223,36,"4.510014673209298, 6.2801519729584925, 4.6, 1.088703137670763"
11124,36,"4.510014673209298, 6.2801519729584925, 4.6, 1.088703137670763"
11125,36,"3.9930930422133883, 6.107315027210689, 4.7, 1.00561412263739"
7009,36,"6.4811342167094494, 5.888902545609653, 5.0, 1.001122824527478"
7011,36,"6.750491760305465, 6.579145769385605, 0.0, 1.0"
7010,36,"4.510014673209298, 6.2801519729584925, 4.6, 1.088703137670763"
7012,37,"6.758334734587436, 6.540439594400823, 0.0, 1.0"
3224,37,"6.758334734587436, 6.540439594400823, 0.0, 1.0"
11126,37,"6.758334734587436, 6.540439594400823, 0.0, 1.0"
3225,38,"7.70581666480183, 5.1798908086118445, 3.8, 1.005052710373651"
11127,38,"7.70581666480183, 5.1798908086118445, 3.8, 1.005052710373651"
3226,39,"1.5625719994242786, 6.868117591815462, 4.7, 1.0067369471648682"
7013,39,"1.5625719994242786, 6.868117591815462, 4.7, 1.0067369471648682"
15384,40,"2.7406039991687408, 8.474555485091514, 4.3, 1.0802819537146777"
15385,41,"4.735688633856967, 3.129115968361475, 0.0, 1.0"
11128,42,"4.559438645844921, 2.805077865565181, 4.5, 1.1246335225500592"
11129,43,"2.2662668989656822, 6.820086026440094, 3.7, 1.00561412263739"
7014,44,"6.419060211307055, 4.9639302686016435, 4.4, 1.0589482876925955"
3227,44,"6.419060211307055, 4.9639302686016435, 4.4, 1.0589482876925955"
15386,44,"6.419060211307055, 4.9639302686016435, 4.4, 1.0589482876925955"
9,44,"6.419060211307055, 4.9639302686016435, 4.4, 1.0589482876925955"
11130,44,"6.419060211307055, 4.9639302686016435, 4.4, 1.0589482876925955"
11131,45,"3.156889279606048, 7.892545983102536, 0.0, 1.0"
7015,45,"3.156889279606048, 7.892545983102536, 0.0, 1.0"
11132,46,"6.2667799178427686, 2.9061838691839057, 0.0, 1.0"
3228,47,"7.421044770870878, 5.143036466805597, 0.0, 1.0"
10,47,"7.421044770870878, 5.143036466805597, 0.0, 1.0"
3230,48,"5.73930278279488, 4.6389282314487446, 5.0, 1.000561412263739"
11,48,"5.73930278279488, 4.6389282314487446, 5.0, 1.000561412263739"
3229,48,"3.9387446254174847, 5.818745457285559, 4.8, 1.00561412263739"
15387,49,"4.49101315473996, 3.4068328965149703, 0.0, 1.0"
15388,50,"4.84203660310402, 4.6027990887728265, 4.8, 1.0044912981099121"
15389,51,"5.10182376164812, 5.228116141962346, 4.2, 1.00561412263739"
11133,51,"5.10182376164812, 5.228116141962346, 4.2, 1.00561412263739"
7016,51,"5.10182376164812, 5.228116141962346, 4.2, 1.00561412263739"
7017,52,"5.771733452679769, 5.291146329704816, 4.1, 1.007859771692346"
7018,52,"4.704222367853106, 7.92048863323248, 4.5, 1.0095440084835632"
